date_and_time,lat,lon,speed
04-12-14 10:48:07.575,59.34699,18.055002,6
04-12-14 10:48:08.575,59.346995,18.055033,6
04-12-14 10:48:09.575,59.346998,18.055065,6
04-12-14 10:48:10.575,59.347003,18.055095,6
04-12-14 10:48:11.575,59.347008,18.055125,6
04-12-14 10:48:12.575,59.34701,18.055157,6
04-12-14 10:48:13.575,59.347013,18.055188,6
04-12-14 10:48:14.575,59.347017,18.055218,6
04-12-14 10:48:15.575,59.347015,18.055247,5
04-12-14 10:48:16.575,59.347008,18.055277,6
04-12-14 10:48:17.575,59.346997,18.055303,6
04-12-14 10:48:18.574,59.346982,18.055328,6
04-12-14 10:48:19.574,59.346967,18.055353,6
04-12-14 10:48:20.574,59.346952,18.055377,6
04-12-14 10:48:21.574,59.346935,18.055397,6
04-12-14 10:48:22.574,59.346918,18.055412,6
04-12-14 10:48:23.574,59.346903,18.055428,6
04-12-14 10:48:24.574,59.346888,18.055447,7
04-12-14 10:48:25.574,59.346878,18.055473,6
04-12-14 10:48:26.574,59.346873,18.055502,6
04-12-14 10:48:27.574,59.346868,18.055532,6
04-12-14 10:48:28.574,59.346863,18.055562,6
04-12-14 10:48:29.574,59.346857,18.055587,6
04-12-14 10:48:30.574,59.346847,18.055607,6
04-12-14 10:48:31.573,59.346825,18.055617,9
04-12-14 10:48:32.573,59.346807,18.05563,6
04-12-14 10:48:33.573,59.34679,18.055643,7
04-12-14 10:48:34.573,59.346768,18.05565,7
04-12-14 10:48:35.573,59.346745,18.055662,7
04-12-14 10:48:36.573,59.346722,18.055672,7
04-12-14 10:48:37.573,59.346697,18.055682,7
04-12-14 10:48:38.573,59.346673,18.055692,7
04-12-14 10:48:39.573,59.346648,18.0557,8
04-12-14 10:48:40.573,59.346623,18.05571,8
04-12-14 10:48:41.573,59.346602,18.055718,6
04-12-14 10:48:42.573,59.346582,18.055727,7
04-12-14 10:48:43.573,59.346558,18.055733,8
04-12-14 10:48:44.573,59.346537,18.055747,8
04-12-14 10:48:45.572,59.346515,18.05576,8
04-12-14 10:48:46.572,59.346495,18.055775,8
04-12-14 10:48:47.572,59.346473,18.055788,8
04-12-14 10:48:48.572,59.346452,18.0558,8
04-12-14 10:48:49.572,59.346423,18.055812,9
04-12-14 10:48:50.572,59.3464,18.05583,8
04-12-14 10:48:51.572,59.346378,18.055848,8
04-12-14 10:48:52.572,59.346358,18.055862,8
04-12-14 10:48:53.572,59.346338,18.055877,7
04-12-14 10:48:54.572,59.346322,18.055893,7
04-12-14 10:48:55.572,59.346303,18.055907,7
04-12-14 10:48:56.572,59.346285,18.055922,7
04-12-14 10:48:57.572,59.346268,18.055945,6
04-12-14 10:48:58.571,59.346252,18.055968,7
04-12-14 10:48:59.571,59.34623,18.05598,7
04-12-14 10:49:00.571,59.346212,18.055993,7
04-12-14 10:49:01.571,59.346193,18.05601,7
04-12-14 10:49:02.571,59.346177,18.056028,7
04-12-14 10:49:03.571,59.346157,18.05605,7
04-12-14 10:49:04.571,59.346142,18.056062,6
04-12-14 10:49:05.571,59.346128,18.056088,6
04-12-14 10:49:06.571,59.346112,18.056105,7
04-12-14 10:49:07.571,59.346093,18.056115,7
04-12-14 10:49:08.571,59.346077,18.056127,6
04-12-14 10:49:09.571,59.34606,18.056128,6
04-12-14 10:49:10.571,59.346042,18.056128,7
04-12-14 10:49:11.571,59.346025,18.056143,7
04-12-14 10:49:12.570,59.346008,18.056157,7
04-12-14 10:49:13.570,59.345992,18.056175,7
04-12-14 10:49:14.570,59.345978,18.05619,7
04-12-14 10:49:15.570,59.345962,18.056197,6
04-12-14 10:49:16.570,59.345948,18.05621,6
04-12-14 10:49:17.570,59.345937,18.056228,6
04-12-14 10:49:18.570,59.345922,18.05624,6
04-12-14 10:49:19.570,59.345915,18.056258,6
04-12-14 10:49:20.570,59.345903,18.056277,5
04-12-14 10:49:21.570,59.345893,18.056298,4
04-12-14 10:49:22.570,59.345887,18.056325,4
04-12-14 10:49:23.570,59.345878,18.056352,5
04-12-14 10:49:24.570,59.345868,18.056378,5
04-12-14 10:49:25.570,59.345857,18.056407,6
04-12-14 10:49:26.569,59.345847,18.056435,6
04-12-14 10:49:27.569,59.345838,18.056462,5
04-12-14 10:49:28.569,59.345828,18.056488,5
04-12-14 10:49:29.569,59.345817,18.05651,6
04-12-14 10:49:30.569,59.345808,18.056533,6
04-12-14 10:49:31.569,59.345797,18.056548,6
04-12-14 10:49:32.569,59.345785,18.056562,6
04-12-14 10:49:33.569,59.345772,18.056575,6
04-12-14 10:49:34.569,59.345757,18.056585,6
04-12-14 10:49:35.569,59.345743,18.056588,6
04-12-14 10:49:36.569,59.345727,18.056593,6
04-12-14 10:49:37.569,59.345712,18.0566,6
04-12-14 10:49:38.569,59.345693,18.056605,6
04-12-14 10:49:39.568,59.345677,18.056612,6
04-12-14 10:49:40.568,59.345663,18.056618,6
04-12-14 10:49:41.568,59.345648,18.056625,6
04-12-14 10:49:42.568,59.345632,18.05663,6
04-12-14 10:49:43.568,59.345613,18.056635,6
04-12-14 10:49:44.568,59.345602,18.056648,6
04-12-14 10:49:45.568,59.345585,18.056662,7
04-12-14 10:49:46.568,59.345568,18.05667,6
04-12-14 10:49:47.568,59.34555,18.056677,6
04-12-14 10:49:48.568,59.345537,18.056687,6
04-12-14 10:49:49.568,59.345522,18.056697,6
04-12-14 10:49:50.568,59.345508,18.05671,6
04-12-14 10:49:51.568,59.3455,18.056738,5
04-12-14 10:49:52.568,59.345485,18.056752,6
04-12-14 10:49:53.567,59.34547,18.056768,6
04-12-14 10:49:54.567,59.345445,18.056787,6
04-12-14 10:49:55.567,59.34543,18.0568,7
04-12-14 10:49:56.567,59.34541,18.056813,7
04-12-14 10:49:57.567,59.34539,18.05682,7
04-12-14 10:49:58.567,59.34537,18.056825,7
04-12-14 10:49:59.567,59.34535,18.056833,7
04-12-14 10:50:00.567,59.345332,18.056842,7
04-12-14 10:50:01.567,59.345312,18.056848,7
04-12-14 10:50:02.567,59.345295,18.056858,6
04-12-14 10:50:03.567,59.345282,18.056868,7
04-12-14 10:50:04.567,59.345268,18.056878,7
04-12-14 10:50:05.567,59.345253,18.05689,7
